place_id;name;latitude;longitude;hov_ref;wikidata;updated;description;street;housenumber;postcode;city;country;facilities;toilet;shower;drinking_water;changing_room;lifeguard;lifebuoy;trash;firstaid;fireplace;bathing_jetty;bathing_ladder;diving_tower;td_url;accessibility;wheelchair;watertype;beach_sand;beach_stone;beach_rock;beach_concrete;beach_grass;pet_bath;camping;temp_url;extra_url;visit_url;phone;email
0181-Malarbadet;Mälarbadet;59,22299693;17,61283358;SE0110181000001342;Q104816573;2022-01-03;En stor badplats som förutom vattenlek erbjuder möjlighet till volleybollmatcher och isglass i solen.;;;15250;Södertälje;SE;;true;true;true;true;false;true;true;false;true;true;true;false;;;true;lake;true;false;false;false;true;false;false;https://sodertaljeglue.eu-gb.mybluemix.net/getwatertemp;https://www.havochvatten.se/badplatser-och-badvatten/kommuner-och-badplatser/kommuner/badplatser-i-sodertalje-kommun.html#;https://www.sodertalje.se/kultur-och-fritid/natur-och-friluftsliv/badplatser/malarbadet/;08–52301000;kontaktcenter@sodertalje.se
0181-NyaMalmsjobadet;Nya Malmsjöbadet;59,23488174;17,53703504;SE0110181000001339;Q104816656;2022-01-03;Malmsjön är en liten insjö som ofta har högre vattentemperaturer än Mälaren och havsbaden. En oas för barnfamiljer.;;;15023;Södertälje;SE;;true;false;true;false;false;true;true;false;true;false;false;false;;;false;lake;true;false;false;false;false;;false;https://sodertaljeglue.eu-gb.mybluemix.net/getwatertemp;https://www.havochvatten.se/badplatser-och-badvatten/kommuner-och-badplatser/kommuner/badplatser-i-sodertalje-kommun.html#;https://www.sodertalje.se/kultur-och-fritid/natur-och-friluftsliv/badplatser/nya-malmsjobadet/;08–52301000;kontaktcenter@sodertalje.se
0181-Underasbadet;Underåsbadet;59,26538387;17,53586864;SE0110181000001341;Q104809094;2022-01-03;Badstrand vid Mälaren med gräsytor och volleybollplan.;;;15150;Södertälje;SE;;true;false;false;false;false;true;true;false;false;false;false;false;;;false;lake;false;false;false;false;true;false;false;https://sodertaljeglue.eu-gb.mybluemix.net/getwatertemp;https://www.havochvatten.se/badplatser-och-badvatten/kommuner-och-badplatser/kommuner/badplatser-i-sodertalje-kommun.html#;https://www.sodertalje.se/kultur-och-fritid/natur-och-friluftsliv/badplatser/underasbadet-enhorna/;08–52301000;kontaktcenter@sodertalje.se
0181-Eklundsnasbadet;Eklundsnäsbadet;59,16858935;17,59192009;SE0110181000001348;Q104808864;2022-01-03;En omtyckt badplats med liv och rörelse från morgon till kväll. Badet ligger vid sjön Måsnaren som ofta har högre vattentemperaturer än Mälaren och havsbaden.;;;15167;Södertälje;SE;;true;false;true;false;false;true;true;false;true;true;true;false;;;false;lake;true;false;false;false;true;false;false;https://sodertaljeglue.eu-gb.mybluemix.net/getwatertemp;https://www.havochvatten.se/badplatser-och-badvatten/kommuner-och-badplatser/kommuner/badplatser-i-sodertalje-kommun.html#;https://www.sodertalje.se/kultur-och-fritid/natur-och-friluftsliv/badplatser/eklundsnasbadet/;08–52301000;kontaktcenter@sodertalje.se
0181-Nasetsudde;Näsets udde;59,15857686;17,66084146;SE0110181000004287;Q104817430;2022-01-03;Näsets udde ligger ett par kilometer söder om Södertälje centrum. Badplatsen ligger nästan längst ut på udden, vid Glashyttan. Här får du tillgång till havet fast du är kvar i staden.;;;15138;Södertälje;SE;;true;false;false;false;false;true;true;false;true;false;false;false;;;false;sea;true;false;false;false;false;false;false;https://sodertaljeglue.eu-gb.mybluemix.net/getwatertemp;https://www.havochvatten.se/badplatser-och-badvatten/kommuner-och-badplatser/kommuner/badplatser-i-sodertalje-kommun.html#;https://www.sodertalje.se/kultur-och-fritid/natur-och-friluftsliv/badplatser/nasets-udde/;08–52301000;kontaktcenter@sodertalje.se
0181-Branningestrandsbadet;Bränningestrandsbadet;59,14848471;17,66746526;SE0110181000004288;Q104816563;2022-01-03;Liten strand mitt i villasamhället Pershagen mittemot ön Skorvan.;;;15139;Södertälje;SE;;true;false;false;false;false;true;true;false;false;false;false;false;;;false;sea;true;false;false;false;true;false;false;https://sodertaljeglue.eu-gb.mybluemix.net/getwatertemp;https://www.havochvatten.se/badplatser-och-badvatten/kommuner-och-badplatser/kommuner/badplatser-i-sodertalje-kommun.html#;https://www.sodertalje.se/kultur-och-fritid/natur-och-friluftsliv/badplatser/branningestrandsbadet/;08–52301000;kontaktcenter@sodertalje.se
0181-Farstanasbadet;Farstanäsbadet;59,09741645;17,65589437;SE0110181000001355;Q104809053;2022-01-03;"Farstanäs är det enda av Södertäljes bad som har utmärkelsen ""Blå Flagg"". Detta innebär att badet förutom god vattenkvalitet och välordnade förhållanden i övrigt också kan erbjuda andra aktiviteter än bad.";;;15391;Södertälje;SE;;true;;;true;;;true;;;true;;true;;;;sea;true;false;false;false;true;true;true;https://sodertaljeglue.eu-gb.mybluemix.net/getwatertemp;https://www.havochvatten.se/badplatser-och-badvatten/kommuner-och-badplatser/kommuner/badplatser-i-sodertalje-kommun.html#;https://www.sodertalje.se/kultur-och-fritid/natur-och-friluftsliv/badplatser/farstanasbadet/;08–52301000;kontaktcenter@sodertalje.se
0181-Bergabadet;Bergabadet;59,05786171;17,44120955;SE0110181000001363;Q104808953;2022-01-03;Bergabadet är en mindre badplats som ligger vid Bergasjön i Mölnbo.;;;15360;Södertälje;SE;;true;false;false;true;false;true;true;false;false;true;true;true;;;true;lake;true;false;false;false;false;false;false;https://sodertaljeglue.eu-gb.mybluemix.net/getwatertemp;https://www.havochvatten.se/badplatser-och-badvatten/kommuner-och-badplatser/kommuner/badplatser-i-sodertalje-kommun.html#;https://www.sodertalje.se/kultur-och-fritid/natur-och-friluftsliv/badplatser/bergabadet/;08–52301000;kontaktcenter@sodertalje.se
0181-Abynasbadet;Åbynäsbadet;59,01852075;17,62001563;SE0110181000001362;Q104808912;2022-01-03;Åbynäsbadet är ett havsbad vid Åby kvarn i Hölö.;;;15392;Södertälje;SE;;true;false;false;true;false;true;true;false;false;true;true;true;;;true;sea;true;false;false;false;true;false;false;https://sodertaljeglue.eu-gb.mybluemix.net/getwatertemp;https://www.havochvatten.se/badplatser-och-badvatten/kommuner-och-badplatser/kommuner/badplatser-i-sodertalje-kommun.html#;https://www.sodertalje.se/kultur-och-fritid/natur-och-friluftsliv/badplatser/abynasbadet-holo/;08–52301000;kontaktcenter@sodertalje.se
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
